album,genre,song
Evermore,Música alternativaIndie,gold rush
Evermore,Música alternativaIndie,cowboy like me
Evermore,Música alternativaIndie,willow
Evermore,Música alternativaIndie,dorothea
Evermore,Música alternativaIndie,evermore
Evermore,Country rock,"no body, no crime"
The Tortured Poets Department,Pop,The Bolter
The Tortured Poets Department,Pop,"So Long, London"
The Tortured Poets Department,Pop,Fresh Out the Slammer
The Tortured Poets Department,Pop,I Can Fix Him (No Really I Can)
The Tortured Poets Department,Pop,My Boy Only Breaks His Favorite Toys
The Tortured Poets Department,Pop,Down Bad
The Tortured Poets Department,Pop,Guilty as Sin?
The Tortured Poets Department,Pop,The Alchemy
The Tortured Poets Department,Pop,Fortnight
The Tortured Poets Department,Pop,But Daddy I Love Him
The Tortured Poets Department,Pop,The Tortured Poets Department
The Tortured Poets Department,Pop,Clara Bow
The Tortured Poets Department,Pop,Who’s Afraid of Little Old Me?
The Tortured Poets Department,Pop,Florida!!!
The Tortured Poets Department,Pop,I Can Do It With a Broken Heart
The Tortured Poets Department,Pop,The Smallest Man Who Ever Lived
The Tortured Poets Department,Pop,loml
The Tortured Poets Department,Fiestas y Tradiciones,My Boy Only Breaks His Favorite Toys
The Tortured Poets Department,Fiestas y Tradiciones,The Tortured Poets Department
The Tortured Poets Department,Fiestas y Tradiciones,Florida!!!
Speak Now,Country,Mine
Speak Now,Country,Sparks Fly
Speak Now,Country,Back to December
Speak Now,Country Pop,Speak Now
Speak Now,Country Pop,Dear John
Speak Now,Country Pop,Mean
Speak Now,Country Pop,The Story of Us
Speak Now,Country Pop,Never Grow Up
Speak Now,Country Pop,Enchanted
Speak Now,Country Pop,Better Than Revenge
Speak Now,Country Pop,Innocent
Speak Now,Country Pop,Haunted
Speak Now,Country Pop,Last Kiss
Speak Now,Country Pop,Long Live


