content,date,users
"So grateful for @Miles_Teller for being the greatest dance partner and friend to me. And @keleighteller, who is the coolest living human on planet earth. The bride was willing to risk it all 🥰🧣 https://t.co/PXHlKCo1iF",2021-11-17 22:11:24,"@keleighteller,"
The reddest video EVER is out now. Directed by @blakelively who SMASHED it just like I smashed this cake.  https://t.co/Gm4xT1vuNk https://t.co/G0T66YdzMz,2021-11-15 15:21:48,@blakelively
"SURPRISE! NEW MUSIC VIDEO TOMORROW at 10am ET 🚨 I finally got to work with the brilliant, brave, &amp; wickedly funny @blakelively on her directorial debut. Join us as we raise a toast, and a little hell.   https://t.co/Gm4xT1vuNk https://t.co/2Qh7KEVUpD",2021-11-14 15:03:03,@blakelively
It’s the 13th and I get to play on @nbcsnl tonight with host Jonathan Majors 😆 https://t.co/YrJGQpZKfR,2021-11-14 01:43:47,@nbcsnl
"Shot on 35mm film with cinematography by the brilliant @the_rinayang. Plan your watch parties or grab your blanket and curl up into a ball. However you want to watch All Too Well The Short Film, it’ll be out tomorrow on YouTube at 7pm Eastern. 🥲   https://t.co/YzOtPK5Hzd https://t.co/SWAlziJ6bC",2021-11-11 13:38:34,@the_rinayang.
November 12. Remember it.   @SadieSink  @dylanobrien https://t.co/fTAd8dItX0,2021-11-05 12:50:50,@SadieSink
November 12. Remember it.   @SadieSink  @dylanobrien https://t.co/fTAd8dItX0,2021-11-05 12:50:50,@dylanobrien
@arloparks @MercuryPrize This is so well deserved. Your album is stunning ❤️❤️❤️❤️,2021-09-10 15:27:31,@arloparks
@arloparks @MercuryPrize This is so well deserved. Your album is stunning ❤️❤️❤️❤️,2021-09-10 15:27:31,@MercuryPrize
"I’m blown away by @halsey’s artistry and commitment to taking risks. Giving us all a brave new era to dive into and explore together. If I can’t have love, I want power is out now- please stream and buy the album!! https://t.co/ZZXXLuh1D7",2021-08-29 17:18:01,@halsey’s
My buddy @aaron_dessner got us all together to make “how long do you think it’s gonna last?” and it would be very smile-inducing for us if you checked it out. 😘 @BRMadjv   https://t.co/HRJRqFAMPD https://t.co/kzjgJ2bts7,2021-08-27 17:09:08,@aaron_dessner
My buddy @aaron_dessner got us all together to make “how long do you think it’s gonna last?” and it would be very smile-inducing for us if you checked it out. 😘 @BRMadjv   https://t.co/HRJRqFAMPD https://t.co/kzjgJ2bts7,2021-08-27 17:09:08,@BRMadjv
"Congrats pals, you guessed the titles and ft. artists on Red (my version). The vault tracks will ft. @ChrisStapleton, @phoebe_bridgers, @mistersmims &amp; @edsheeran❗️I can’t wait to dust off our highest hopes &amp; relive these memories together. Pre-order now https://t.co/5VduTiOaKB https://t.co/3BjCzI7Wag",2021-08-06 14:02:39,"@ChrisStapleton,"
"Congrats pals, you guessed the titles and ft. artists on Red (my version). The vault tracks will ft. @ChrisStapleton, @phoebe_bridgers, @mistersmims &amp; @edsheeran❗️I can’t wait to dust off our highest hopes &amp; relive these memories together. Pre-order now https://t.co/5VduTiOaKB https://t.co/3BjCzI7Wag",2021-08-06 14:02:39,"@phoebe_bridgers,"
"Congrats pals, you guessed the titles and ft. artists on Red (my version). The vault tracks will ft. @ChrisStapleton, @phoebe_bridgers, @mistersmims &amp; @edsheeran❗️I can’t wait to dust off our highest hopes &amp; relive these memories together. Pre-order now https://t.co/5VduTiOaKB https://t.co/3BjCzI7Wag",2021-08-06 14:02:39,@mistersmims
"Congrats pals, you guessed the titles and ft. artists on Red (my version). The vault tracks will ft. @ChrisStapleton, @phoebe_bridgers, @mistersmims &amp; @edsheeran❗️I can’t wait to dust off our highest hopes &amp; relive these memories together. Pre-order now https://t.co/5VduTiOaKB https://t.co/3BjCzI7Wag",2021-08-06 14:02:39,@edsheeran❗️I
"When @Aaron_Dessner came into my life, I was ushered into his world of free-flowing creativity where you don’t overthink, you just make music. A song we wrote for his project @BRMadjv (which also features ⚡️Justin Vernon✨) is out! It’s called Renegade. https://t.co/qisY2CQ0bJ https://t.co/PzTMNyskDS",2021-07-02 04:11:34,@Aaron_Dessner
"When @Aaron_Dessner came into my life, I was ushered into his world of free-flowing creativity where you don’t overthink, you just make music. A song we wrote for his project @BRMadjv (which also features ⚡️Justin Vernon✨) is out! It’s called Renegade. https://t.co/qisY2CQ0bJ https://t.co/PzTMNyskDS",2021-07-02 04:11:34,@BRMadjv
@benstafford100 Ahhhh Ben thank you!! Hope you have a great day 🤗🤗🤗🤗,2021-06-03 19:20:51,@benstafford100
"@alltaywell1 You are so sweet to do this, thank you! And thanks for saying that, you guys give me so much to look forward too 😘😘😘😘",2021-06-03 16:26:20,@alltaywell1
@caitiets13 You’re wonderful!! Thank you Caitie!! *sends virtual hug* 🤗,2021-06-03 16:23:59,@caitiets13
"@_eyesopen13 Good luck, sending all the good vibes your way!!! 🤞",2021-06-03 16:21:19,@_eyesopen13
@swiftiegrandma All three!!! You’re amazing❣️❣️❣️❣️,2021-06-03 16:20:01,@swiftiegrandma
@swiftieboston Thank you Bobby!!! Love the hoodie too ☺️,2021-06-03 16:19:04,@swiftieboston
@kalob_3x89 FANTASTIC PICTURE!! Love seeing you smile like that! Happy Pride Month to you too! 🏳️‍🌈,2021-06-03 00:59:47,@kalob_3x89
@DanaBrigoli Yayyyy!!!! You’re so awesome! Thank you ❤️,2021-06-03 00:57:49,@DanaBrigoli
"@marjoriesmays @taylornation13 @ameliafrey_ You just put a smile on my face, thank you so much. Love this, marjorie ❣️",2021-06-03 00:50:11,@marjoriesmays
"@marjoriesmays @taylornation13 @ameliafrey_ You just put a smile on my face, thank you so much. Love this, marjorie ❣️",2021-06-03 00:50:11,@taylornation13
"@marjoriesmays @taylornation13 @ameliafrey_ You just put a smile on my face, thank you so much. Love this, marjorie ❣️",2021-06-03 00:50:11,@ameliafrey_
@whereyouleftmir Love this!!! So glad you like that one! This photo is so precious and joyful 😘,2021-06-03 00:47:53,@whereyouleftmir
"@mikdonalds__ Evermore doubles as a zoom backdrop, pass it on. This pic is so cute!!",2021-06-03 00:43:59,@mikdonalds__
@LoverLondonGirl That’s basically the evermore song storyline! Lonely witch comes inside from the cold and feels cozy! You nailed it,2021-06-03 00:40:43,@LoverLondonGirl
@feelsoswifty Happiness over here too ☺️☺️☺️☺️ thanks buddy,2021-06-03 00:33:22,@feelsoswifty
@ellalovertay CONGRADUATIONS BABIES !!!!!!!!!!!!!,2021-06-03 00:30:15,@ellalovertay
"@thisisabbytryin cowboy like me is low key my fav to dramatically sway to, thank you for appreciating that one !!! 🤠",2021-06-03 00:28:02,@thisisabbytryin
@samanthtweets I see what you did there 😸,2021-06-03 00:27:22,@samanthtweets
@worshipthisluv_ It’s nice to have a friend 😍,2021-06-03 00:27:03,@worshipthisluv_
I got a list of names and yours is in... glittery gel pen with hearts drawn around it 😇 @Maisie_Williams @wiffygriffy @Olivia_Rodrigo https://t.co/EgT50dBa7n,2021-05-12 20:27:39,@Maisie_Williams
I got a list of names and yours is in... glittery gel pen with hearts drawn around it 😇 @Maisie_Williams @wiffygriffy @Olivia_Rodrigo https://t.co/EgT50dBa7n,2021-05-12 20:27:39,@wiffygriffy
I got a list of names and yours is in... glittery gel pen with hearts drawn around it 😇 @Maisie_Williams @wiffygriffy @Olivia_Rodrigo https://t.co/EgT50dBa7n,2021-05-12 20:27:39,@Olivia_Rodrigo
CONGRATS @lanawilson 😇😇😇 !!! And a million hugs to the fans who made this happen! https://t.co/YMRWLZTWaa,2021-04-19 21:04:00,@lanawilson
Said hey to Stephen the other day   @StephenAtHome  @colbertlateshow https://t.co/AfM0o08MDd,2021-04-13 16:34:22,@StephenAtHome
Said hey to Stephen the other day   @StephenAtHome  @colbertlateshow https://t.co/AfM0o08MDd,2021-04-13 16:34:22,@colbertlateshow
This is more than perfectly fine 😄 @amazonmusic https://t.co/buTDyt52RX https://t.co/BSn7TGH3Ts,2021-04-12 21:09:49,@amazonmusic
You can listen to That’s When (feat. @KeithUrban) and You All Over Me (feat. @MarenMorris) on the Today’s Country playlist on @AppleMusic! 💛 https://t.co/aHyZsfAQJY https://t.co/PY7qnJTKMl,2021-04-12 20:31:45,@KeithUrban)
You can listen to That’s When (feat. @KeithUrban) and You All Over Me (feat. @MarenMorris) on the Today’s Country playlist on @AppleMusic! 💛 https://t.co/aHyZsfAQJY https://t.co/PY7qnJTKMl,2021-04-12 20:31:45,@MarenMorris)
You can listen to That’s When (feat. @KeithUrban) and You All Over Me (feat. @MarenMorris) on the Today’s Country playlist on @AppleMusic! 💛 https://t.co/aHyZsfAQJY https://t.co/PY7qnJTKMl,2021-04-12 20:31:45,@AppleMusic!
You ok? NO cause I sent my two kids @Olivia_Rodrigo and @conangray my new version of You Belong With Me and THEY ARE SO CUTE IT PHYSICALLY HURTS ME  ((Album out at midnight!)) https://t.co/yDJusP8TAs,2021-04-08 15:19:09,@Olivia_Rodrigo
You ok? NO cause I sent my two kids @Olivia_Rodrigo and @conangray my new version of You Belong With Me and THEY ARE SO CUTE IT PHYSICALLY HURTS ME  ((Album out at midnight!)) https://t.co/yDJusP8TAs,2021-04-08 15:19:09,@conangray
"I’m really honored that @KeithUrban  is a part of this project, duetting on That’s When and singing harmonies on We Were Happy. I was his opening act during the Fearless album era and his music has inspired me endlessly.",2021-04-03 16:02:36,@KeithUrban
You All Over Me (feat. @MarenMorris) (From The Vault) and Love Story (Taylor’s Version) - Elvira Remix are out now because in this house we dance and cry at the SAME TIME 💛😭💃   https://t.co/LypMvvtRtZ https://t.co/VHwv61UNy4,2021-03-26 04:10:22,@MarenMorris)
"@IAMANITABAKER I’m cheering you on in your fight to get back your work, and appreciate your support so much!! Thank you 🙏 💗",2021-03-25 21:17:15,@IAMANITABAKER
"One thing I’ve been loving about these From The Vault songs is that they’ve never been heard, so I can experiment, play, and even include some of my favorite artists. I’m really excited to have @MarenMorris singing background vocals on this song!! ☔️",2021-03-24 13:07:02,@MarenMorris
@DavidArchie I LOVE THIS!!! 🤩🤩🤩,2021-03-05 00:09:52,@DavidArchie
"Hey Ginny &amp; Georgia, 2010 called and it wants its lazy, deeply sexist joke back. How about we stop degrading hard working women by defining this horse shit as FuNnY. Also, @netflix after Miss Americana this outfit doesn’t look cute on you 💔 Happy Women’s History Month I guess https://t.co/2X0jEOXIWp",2021-03-01 14:55:16,@netflix
@NBAonTNT @JimmyButler @DwyaneWade 13/10 😺,2021-02-19 18:54:16,@NBAonTNT
@NBAonTNT @JimmyButler @DwyaneWade 13/10 😺,2021-02-19 18:54:16,@JimmyButler
@NBAonTNT @JimmyButler @DwyaneWade 13/10 😺,2021-02-19 18:54:16,@DwyaneWade
@katyperry THIS IS GENIUS https://t.co/NshAzSYA71,2020-12-22 14:46:02,@katyperry
"My dad watched this interview and said ‘@zanelowe knows you maybe even better than you know yourself’. So while I spend years processing that possibility, here’s the video of our chat! https://t.co/mguXdYz4z4 @AppleMusic https://t.co/qdgtQ61EyI",2020-12-16 15:22:06,@zanelowe
"My dad watched this interview and said ‘@zanelowe knows you maybe even better than you know yourself’. So while I spend years processing that possibility, here’s the video of our chat! https://t.co/mguXdYz4z4 @AppleMusic https://t.co/qdgtQ61EyI",2020-12-16 15:22:06,@AppleMusic
@rainnwilson https://t.co/2mvssgh2yW,2020-12-14 21:31:31,@rainnwilson
"This is such a thoughtful tribute, not only to the song “Marjorie”, but to Marjorie herself. Thank you so much @robsheff 🥲 https://t.co/1Rb6Y2wUWO",2020-12-14 14:36:35,@robsheff
"@AbbyWambach Just saw this and GRINNED!! Tell Tish hi and thanks for remembering my birthday!! You, my friend, are a champion in every way. And Glennon’s writing has been a huge help to me this year, what a luminary she is.🙏 Sending my love to your family!!",2020-12-14 14:23:57,@AbbyWambach
"@halsey Me reading this tweet, ilysm https://t.co/0KcoeXd7rV",2020-12-14 02:30:46,@halsey
Speechless over this. 🙏🙏🙏 Thank you @variety https://t.co/AC08Y8g8SP,2020-12-12 21:48:41,@variety
"This review turned me into an actual weeping willow, thank you @rollingstone 🍂♥️🍁 https://t.co/f1WcdPYZ8E",2020-12-11 18:40:51,@rollingstone
"@yelyahwilliams This made my heart race/double in size/turn into a confetti cloud of petals, thank you so much. You’re incredible. And this was so nice to read 🥺🥰",2020-12-11 18:26:58,@yelyahwilliams
"@Mattberninger @aaron_dessner @TheNational Might print that out and hang it on my ‘most charming tweets’ wall. I’m a @TheNational mega fan, I have all the merch, and making music with you is an absolute THRILL. Thanks a million 🎡🎢🎠",2020-12-11 06:20:36,@Mattberninger
"@Mattberninger @aaron_dessner @TheNational Might print that out and hang it on my ‘most charming tweets’ wall. I’m a @TheNational mega fan, I have all the merch, and making music with you is an absolute THRILL. Thanks a million 🎡🎢🎠",2020-12-11 06:20:36,@aaron_dessner
"@Mattberninger @aaron_dessner @TheNational Might print that out and hang it on my ‘most charming tweets’ wall. I’m a @TheNational mega fan, I have all the merch, and making music with you is an absolute THRILL. Thanks a million 🎡🎢🎠",2020-12-11 06:20:36,@TheNational
"@Mattberninger @aaron_dessner @TheNational Might print that out and hang it on my ‘most charming tweets’ wall. I’m a @TheNational mega fan, I have all the merch, and making music with you is an absolute THRILL. Thanks a million 🎡🎢🎠",2020-12-11 06:20:36,@TheNational
Over here in folkloreland we feel great about it. Thanks @latimes!🌲🌲🌲🌲🌲🌲🌲🌲🌲 https://t.co/YcCMv2zcaZ,2020-12-09 20:08:36,@latimes!🌲🌲🌲🌲🌲🌲🌲🌲🌲
Got to do this shoot with my folklore co-conspirator Beth Garrabrant &amp; talk to @AlexJSuskind for @EW. Thank you to @StellaMcCartney for the lewks. Mr. Horse told me personally he was stoked knowing no animals were harmed in the making of Stella’s clothes🐴 https://t.co/aKTa5SQC4c https://t.co/N7NT6HZ6MU,2020-12-08 17:34:36,@AlexJSuskind
Got to do this shoot with my folklore co-conspirator Beth Garrabrant &amp; talk to @AlexJSuskind for @EW. Thank you to @StellaMcCartney for the lewks. Mr. Horse told me personally he was stoked knowing no animals were harmed in the making of Stella’s clothes🐴 https://t.co/aKTa5SQC4c https://t.co/N7NT6HZ6MU,2020-12-08 17:34:36,@EW.
Got to do this shoot with my folklore co-conspirator Beth Garrabrant &amp; talk to @AlexJSuskind for @EW. Thank you to @StellaMcCartney for the lewks. Mr. Horse told me personally he was stoked knowing no animals were harmed in the making of Stella’s clothes🐴 https://t.co/aKTa5SQC4c https://t.co/N7NT6HZ6MU,2020-12-08 17:34:36,@StellaMcCartney
"@_DionneWarwick I just saw that you tweeted me!! I’m a huge fan and I respect you so much, thank you for wishing me well. I hope you have a wonderful holiday season, thank you for spreading joy 💕🥰🙏",2020-12-06 16:13:22,@_DionneWarwick
*cries in cottagecore* *screams in soft lullabies* *throws self to the base of a willow tree by a reflection pool at midnight* Thanks @rollingstone 🥺🥰🙏 https://t.co/gLDp7yUUtp,2020-12-04 20:48:32,@rollingstone
"It’s the 13 on the dice for me 💁🏼‍♀️🎲 Thanks Spotify, this is cute cute CUTE. I also thought I’d mention that @jackantonoff lovingly refers to people who like the song august as ‘august heads’. It felt relevant here. https://t.co/7qQFJmQdLe",2020-12-03 14:49:09,@jackantonoff
"Okay so while my new re-records are NOT done, my friend @VancityReynolds asked me if he could use a snippet of one for a LOLsome commercial he wrote so...here’s a sneak peak of Love Story! Working hard to get the music to you soon!! https://t.co/0vBFXxaRXR",2020-12-02 14:38:04,@VancityReynolds
@amitoowell131 I’m so happy you liked it. I miss you guys terribly and am gonna keep trying to find ways to keep us connected during these times. I promise. #folkloreOnDisneyPlus,2020-11-26 00:46:34,@amitoowell131
"@sheroseslowly Confirmed: the woman was, in fact, mad. 😂 #folkloreOnDisneyPlus",2020-11-26 00:11:19,@sheroseslowly
